google,twitter,linkedin,gmail,slideshare,usb,last-fm,wikipedia,wordpress,flickr,yahoo-mail,amazon,facebook,stackoverflow,exe,youtube,ebay,google-docs,blogspot,google-reader,company,REMOTE_ADDR,HTTP_USER_AGENT
yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,Cheers Interactive,123.201.44.129,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 (.NET CLR 3.5.30729)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,COS,82.169.158.64,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1045 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,IBM,92.24.47.61,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.9) Gecko/20100315 (CK-IBM) Firefox/3.5.9 (.NET CLR 3.5.30729)
yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,Credit Suisse,92.24.47.61,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.9) Gecko/20100315 (CK-IBM) Firefox/3.5.9 (.NET CLR 3.5.30729)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cisco,65.87.189.51,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2) Gecko/20100115 (CK-IBM) Firefox/3.6 (.NET CLR 3.5.30729)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,A top Australian firm,203.35.82.136,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.1.9) Gecko/20100315 Firefox/3.5.9
yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,xyz,203.122.19.178,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB6; .NET CLR 2.0.50727)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Janaagraha,117.192.225.69,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.3) Gecko/20091020 Ubuntu/9.10 (karmic) Firefox/3.5.3
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,CSC,206.54.145.254,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.2; .NET CLR 2.0.50727; MS-RTC LM 8; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)
yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,aa,151.191.175.205,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1045 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,vmware,121.241.138.250,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 (.NET CLR 3.5.30729)
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,,122.167.251.170,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6
yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,Infosys,122.248.176.193,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6
